Prob_ID;SMILES;cekirdek_Yapı;Yapısal_ozellikler;Hedef_Analit;Fotofiziksel_Mekanizma;Lambda_abs_nm;Lambda_em_nm;Emisyon_Bolgesi;Biyolojik_Model;Subseluler_Lokalizasyon;Goruntuleme_Tipi;Ana_Biyogoruntuleme_Sonuc;Yapı_ozellik_Notları
PyCM;c1ccc2c(c1)nc3ccccc23C=Cc4ccn[nH+]c4;3,6-disubstitue karbazol;"Piridinyum tabanlı alıcı; katyonik; lipofilik";Au3+ / Au+;ICT / PET modulasyonu;440.0;540.0;540;Canlı hucreler;Mitokondri;1P & 2P;Gold iyon indirgenmesini izler;Uzun π-sistem 2P sinyalini artırır
K1;c1ccc2c(c1)nc3ccccc23C=Cc4csc(n4)C;Karbazol-benziliden-tiazol;Hacimli adamantil donor;Tirozinaz, ConA;"ICT; solvatochromism";362.0;485.0;540;Protein modelleri;Protein cepleri;cozelti floresansı;Orta inhibitor;Hacimli grup hidrofobik baglanmayı guclendirir
K2;c1ccc2c(c1)nc3ccccc23C=Cc4ccc(C#N)cc4;Karbazol-tiazol;para-CN alıcı;Tirozinaz, ConA;ICT artısı;345.0;462.0;540;Protein modelleri;Hidrofobik cep;cozelti floresansı;Artmıs ICT;CN grubu yuk aktarımını artırır
K3;c1ccc2c(c1)nc3ccccc23C=Cc4ccc([N+](=O)[O-])cc4;Karbazol-tiazol;para-NO2 alıcı;Tirozinaz, ConA;Guclu ICT;362.0;475.0;540;Protein modelleri;ConA;cozelti floresansı;En iyi NLO yanıtı;NO2 guclu elektron cekicidir
L1;c1ccc2c(c1)nc3ccccc23C=C(C#N)C#N;N-alkil karbazol;CH=CH-malononitril alıcı (AIEE);ER goruntuleme;ICT + AIEE;400.0;475.0;540;HepG2;ER;Konfokal;AIEE ile parlak ER boyaması;Hidrofobiklik + CN ICT guclendirir
L2;c1ccc2c(c1)nc3ccccc23C=Cc4ncc[nH]4;N-alkil karbazol;Benzimidazol alıcı;Lizozom;"ICT; pH-bagımlı";410.0;485.0;540;HepG2;Lizozom;Konfokal;Asidik ortamda protonlanır;pKa ayarı lokalizasyonu belirler
3a;c1ccc2c(c1)nc3ccccc23C=Cc4ccc(C)cc4;Karbazol-tiazol;para-CH3 fenil;Protein etkilesimleri;ICT;348.0;437.0;540;Protein testleri;Non-spesifik;cozelti;Orta parlaklık;CH3 orta EDG
3b;c1ccc2c(c1)nc3ccccc23C=Cc4ccc(OC)cc4;Karbazol-tiazol;para-OCH3 fenil;Protein etkilesimleri;Guclu ICT;369.0;446.0;540;Protein testleri;Non-spesifik;cozelti;Parlaklık yuksek;OCH3 daha guclu EDG
3c;c1ccc2c(c1)nc3ccccc23C=Cc4ccc(CC(=O)OCC)cc4;Karbazol-tiazol;Ester yan zinciri;Biyogoruntuleme;ICT;355.0;435.0;540;Protein ortamı;Belirsiz;cozelti;En dengeli performans;Ester suda cozunurlugu artırır
HL-1;c1ccc2c(c1)nc3ccccc23C=Cc4ccc[n+](c5ccccc5)c4;Karbazol bazlı D–π–A+;Benzindoliyum alıcı;Viskozite, CN−;ICT/TICT;525.0;620.0;540;SKOV-3, zebrafish;Mitokondri;Konfokal;Viskozite + CN− tespiti;Cationic yapı mitokondriye yonelir
Compound_1;c1ccc2c(c1)nc3ccccc23C=Cc4cc[n+](C)c4;9-etilkarbazol-vinil-benzotiyazol;Duplex DNA ve G4;İnterkalasyon;ICT;450.0;584.0;540;HepG2;Nukleus;Konfokal;Guclu DNA baglanması;Katyonik benzotiyazol baglanmayı artırır
Compound_2;c1ccc2c(c1)nc3ccccc23C=Cc4ccn[n+]c4;Karbazol-benzotiyazol;G4 secici;G4 baglanma;ICT;425.0;559.0;540;HepG2;Sitoplazma/cekirdek;Konfokal;G4 seciciligi yuksek;Taraf zinciri seciciligi belirler
Cr-Rh;c1ccc2c(c1)nc3ccccc23C=Cc4cc(=O)sn4;Karbazol–rhodanine;Protein (BSA/HSA);ICT artırımı;430;450.0;525.0;540;Cep bolgeleri;Steady-state/TCSPC;28 kat artıs;Rhodanine polar baglanma saglar;
PCC-EC;c1ccc2c(c1)nc3ccccc23C=Cc4ccc(C(=O)CC)cc4;9-fenil karbazol;"Etil-siyanoasetat; Michael alıcısı";Hidrazin (N2H4);"C=C kırılması; ICT";390.0;535.0;540;Hucre + Zebrafish;Sitoplazma;Konfokal;Ratiometrik mavi-kayma;N2H4 kesme mekanizması
CBFP;c1ccc2c(c1)nc3ccccc23C=Cc4cc(=O)no4;Karbazol aldehit turevi;Alilamin tetikleyici;Formaldehit;2-aza-Cope rearr.;350.0;400.0;540;HeLa;Sitoplazma;Konfokal;FA icin secici;tetikleyici rearrangement
Carbazole;c1ccc2c(c1)[nH]c3ccccc23;Karbazol;Planar aromatik çekirdek;Polarite;π–π*;292.0;362.0;340–380;NIH/3T3;Sitoplazma;Wide-field;Zayıf bazal floresans;Referans yapı
N-Ethylcarbazole;c1ccc2c(c1)c3ccccc3n2CC;N-alkillenmiş karbazol;Hidrofobik yan zincir;Protein;ICT;302.0;392.0;370–410;HeLa;Sitoplazma;CLSM;Protein bağlanmasıyla sinyal artışı;N-alkilasyon
N-Phenylcarbazole;c1ccc2c(c1)c3ccccc3n2c4ccccc4;N-fenil karbazol;Geniş aromatik sistem;Viskozite;ICT;315.0;420.0;400–440;MCF-7;Sitoplazma;CLSM;Rijit ortamda floresans artışı;Aromatik genişleme
3,6-Dibromocarbazole;Brc1ccc2c(c1)c3cc(Br)ccc3n2;Halojenli karbazol;Ağır atom etkisi;O2;ISC;310.0;455.0;430–480;A549;Sitoplazma;CLSM;Oksijen duyarlı sönümleme;Ağır atom etkisi
3,6-Diaminocarbazole;Nc1ccc2c(c1)c3cc(N)ccc3n2;Amino karbazol;Elektron verici gruplar;pH;PET;305.0;415.0;395–435;HeLa;Lizozom;CLSM;Asidik ortamda PET baskılanması;Amin grupları
Carbazole-CHO;O=CC1=CC2=CC=CC=C2N(C3=CC=CC=C3)C1;Karbazol–aldehit;Karbonil fonksiyonu;Enzim;ICT;335.0;460.0;440–480;HepG2;ER;CLSM;Enzim varlığında floresans artışı;Reaktif karbonil
Carbazole-CN;N#CC1=CC2=CC=CC=C2N(C3=CC=CC=C3)C1;Karbazol–siyano;Güçlü akseptör;Polarite;ICT;345.0;485.0;470–510;A549;Mitokondri;CLSM;Polar ortamda batokromik kayma;D–π–A yapı
Hydroxycarbazole;Oc1ccc2c(c1)c3ccccc3n2;Hidroksi karbazol;H-bağı donörü;pH;ESIPT;310.0;430.0;410–450;HeLa;Lizozom;CLSM;pH-bağımlı ESIPT;Fenolik yapı
